"FIPS","MSCODE","RACE","AGE","INCOME"
"24",3,"RMT",1,3
"42",3,"RMT",1,3
"10",3,"RMT",1,3
"34",1,"RWH",3,3
"24",1,"RWH",3,3
"42",1,"RWH",3,3
"10",1,"RWH",3,3
"34",2,"ROT",4,3
"24",2,"ROT",4,3
"42",2,"ROT",4,3
"10",2,"ROT",4,3
"34",1,"RHS",2,3
"24",1,"RHS",2,3
"42",1,"RHS",2,3
"10",1,"RHS",2,3
"34",4,"RBK",4,3
"24",4,"RBK",4,3
"42",4,"RBK",4,3
"10",4,"RBK",4,3
"34",3,"ROT",3,3
"24",3,"ROT",3,3
"42",3,"ROT",3,3
"10",3,"ROT",3,3
"34",1,"RBK",4,2
"24",1,"RBK",4,2
"42",1,"RBK",4,2
"10",1,"RBK",4,2
"34",1,"ROT",1,2
"24",1,"ROT",1,2
"42",1,"ROT",1,2
"10",1,"ROT",1,2
"34",3,"RMT",4,2
"24",3,"RMT",4,2
"42",3,"RMT",4,2
"10",3,"RMT",4,2
"34",3,"RBK",1,2
"24",3,"RBK",1,2
"42",3,"RBK",1,2
"10",3,"RBK",1,2
"34",2,"RHS",1,2
"24",2,"RHS",1,2
"42",2,"RHS",1,2
"10",2,"RHS",1,2
"34",2,"RWH",4,2
"24",2,"RWH",4,2
"42",2,"RWH",4,2
"10",2,"RWH",4,2
"34",1,"RMT",2,2
"24",1,"RMT",2,2
"42",1,"RMT",2,2
"10",1,"RMT",2,2
"34",4,"ROT",4,2
"24",4,"ROT",4,2
"42",4,"ROT",4,2
"10",4,"ROT",4,2
"34",3,"RHS",2,2
"24",3,"RHS",2,2
"42",3,"RHS",2,2
"10",3,"RHS",2,2
"34",3,"RWH",3,2
"24",3,"RWH",3,2
"42",3,"RWH",3,2
"10",3,"RWH",3,2
"34",1,"RHS",4,4
"24",1,"RHS",4,4
"42",1,"RHS",4,4
"10",1,"RHS",4,4
"34",2,"RWH",2,4
"24",2,"RWH",2,4
"42",2,"RWH",2,4
"10",2,"RWH",2,4
"34",1,"RMT",1,4
"24",1,"RMT",1,4
"42",1,"RMT",1,4
"10",1,"RMT",1,4
"34",4,"RWH",3,4
"24",4,"RWH",3,4
"42",4,"RWH",3,4
"10",4,"RWH",3,4
"34",4,"ROT",2,4
"24",4,"ROT",2,4
"42",4,"ROT",2,4
"10",4,"ROT",2,4
"34",3,"RHS",1,4
"24",3,"RHS",1,4
"42",3,"RHS",1,4
"10",3,"RHS",1,4
"34",1,"ROT",3,4
"24",1,"ROT",3,4
"42",1,"ROT",3,4
"10",1,"ROT",3,4
"34",2,"RBK",4,4
"24",2,"RBK",4,4
"42",2,"RBK",4,4
"10",2,"RBK",4,4
"34",4,"RMT",4,4
"24",4,"RMT",4,4
"42",4,"RMT",4,4
"10",4,"RMT",4,4
"34",3,"RBK",3,4
"24",3,"RBK",3,4
"42",3,"RBK",3,4
"10",3,"RBK",3,4
"34",1,"ROT",4,8
"24",1,"ROT",4,8
"42",1,"ROT",4,8
"10",1,"ROT",4,8
"34",2,"RHS",3,8
"24",2,"RHS",3,8
"42",2,"RHS",3,8
"10",2,"RHS",3,8
"34",1,"RWH",1,8
"24",1,"RWH",1,8
"42",1,"RWH",1,8
"10",1,"RWH",1,8
"34",3,"RBK",4,8
"24",3,"RBK",4,8
"42",3,"RBK",4,8
